FBpp_ID,id,Protein_symbol
FBpp0288412,4834,CG14325-PB
FBpp0082910,4835,CG14322-PA
FBpp0303764,4836,CG14322-PB
FBpp0303765,4837,CG14322-PD
FBpp0082911,4838,Mps1-PA
FBpp0303766,4839,Mps1-PB
FBpp0082912,4840,CG7655-PA
FBpp0082913,4841,CG31360-PA
FBpp0082916,4842,CG31249-PA
FBpp0082917,4843,CG31251-PA
FBpp0082923,4844,CG7523-PA
FBpp0082924,4845,CG14323-PA
FBpp0082925,4846,CG14324-PA
FBpp0082926,4847,Edg91-PA
FBpp0289991,4848,Edg91-PB
FBpp0082927,4849,Prx3-PA
FBpp0082928,4850,l(3)07882-PA
FBpp0082929,4851,CG5823-PA
FBpp0082933,4852,Lgr1-PA
FBpp0082935,4853,CG14321-PA
FBpp0082936,4854,TyrRII-PA
FBpp0082937,4855,pasi1-PA
FBpp0082943,4856,CG12347-PA
FBpp0082947,4857,Alg1-PA
FBpp0082948,4858,Odj-PA
FBpp0304078,4859,CG17801-PB
FBpp0082950,4860,Nnk-PA
FBpp0082951,4861,CG17806-PA
FBpp0082953,4862,CG7379-PA
FBpp0082956,4863,TyrR-PA
FBpp0082957,4864,Atg8b-PA
FBpp0082962,4865,DNaseII-PA
FBpp0082963,4866,CG7785-PA
FBpp0082964,4867,CG7794-PA
FBpp0082965,4868,bard-PA
FBpp0082966,4869,sr-PA
FBpp0082967,4870,sr-PB
FBpp0290830,4871,sr-PC
FBpp0303083,4872,sr-PD
FBpp0082968,4873,CG14316-PA
FBpp0082969,4874,CG14315-PA
FBpp0082971,4875,htl-PA
FBpp0082973,4876,Cbp20-PA
FBpp0082976,4877,wrd-PC
FBpp0082977,4878,wrd-PA
FBpp0082978,4879,wrd-PB
FBpp0082974,4880,wrd-PD
FBpp0288758,4881,wrd-PK
FBpp0288759,4882,wrd-PJ
FBpp0288760,4883,wrd-PI
FBpp0307569,4884,wrd-PP
FBpp0307570,4885,wrd-PQ
FBpp0082979,4886,Arp5-PA
FBpp0082980,4887,MED17-PA
FBpp0082981,4888,CG7985-PA
FBpp0082982,4889,CG14314-PA
FBpp0082983,4890,CG7988-PA
FBpp0082984,4891,Non3-PA
FBpp0082986,4892,repo-PA
FBpp0082987,4893,14-3-3epsilon-PA
FBpp0082988,4894,14-3-3epsilon-PB
FBpp0082989,4895,14-3-3epsilon-PC
FBpp0082990,4896,14-3-3epsilon-PD
FBpp0082991,4897,CG18598-PA
FBpp0082993,4898,CG18599-PA
FBpp0082994,4899,eIF1A-PA
FBpp0082995,4900,CG8064-PA
FBpp0082996,4901,Dlc90F-PA
FBpp0082997,4902,hmw-PA
FBpp0082998,4903,Nup43-PA
FBpp0083001,4904,CG14309-PA
FBpp0083002,4905,CG7675-PA
FBpp0083003,4906,CG7675-PB
FBpp0083007,4907,WRNexo-PA
FBpp0308997,4908,WRNexo-PC
FBpp0291513,4909,WRNexo-PB
FBpp0291514,4910,CG15803-PB
FBpp0311433,4911,CG15803-PC
FBpp0083010,4912,PKD-PA
FBpp0303345,4913,PKD-PG
FBpp0307965,4914,PKD-PH
FBpp0428236,4915,CG7126-PB
FBpp0083015,4916,Polr1E-PA
FBpp0083016,4917,l(3)05822-PA
FBpp0083018,4918,CG7131-PA
FBpp0083020,4919,CG14312-PA
FBpp0083021,4920,CG7142-PA
FBpp0083022,4921,Vps39-PA
FBpp0083025,4922,CG12320-PA
FBpp0083026,4923,CG7156-PA
FBpp0083028,4924,CG7168-PA
FBpp0083029,4925,mTerf5-PA
FBpp0083030,4926,CG7183-PA
FBpp0083031,4927,Ssdp-PA
FBpp0303084,4928,Ssdp-PD
FBpp0083035,4929,CG14313-PA
FBpp0083036,4930,CG12321-PA
FBpp0083043,4931,CG7218-PA
FBpp0083044,4932,cona-PA
FBpp0083050,4933,CG7685-PA
FBpp0305964,4934,CG7685-PB
FBpp0083051,4935,CG7691-PA
FBpp0083052,4936,CG7694-PA
FBpp0083054,4937,CG14305-PA
FBpp0083057,4938,fray-PA
FBpp0428099,4939,fray-PJ
FBpp0083059,4940,CG14304-PA
FBpp0297099,4941,CG14304-PC
FBpp0089355,4942,fru-PI
FBpp0089356,4943,fru-PJ
FBpp0089357,4944,fru-PK
FBpp0083060,4945,fru-PH
FBpp0083061,4946,fru-PB
FBpp0083062,4947,fru-PC
FBpp0083063,4948,fru-PE
FBpp0083064,4949,fru-PF
FBpp0083065,4950,fru-PG
FBpp0083066,4951,fru-PA
FBpp0083067,4952,fru-PD
FBpp0290499,4953,fru-PN
FBpp0303073,4954,fru-PO
FBpp0290647,4955,CG31122-PB
FBpp0305965,4956,CG31122-PC
FBpp0423141,4957,CG31122-PD
FBpp0083069,4958,CG10864-PA
FBpp0083070,4959,Wdr37-PA
FBpp0083072,4960,Vha100-2-PA
FBpp0083073,4961,Vha100-4-PA
FBpp0083076,4962,Gos28-PA
FBpp0083077,4963,CG31231-PA
FBpp0083078,4964,CG31229-PA
FBpp0083079,4965,CG7702-PA
FBpp0083081,4966,CG31230-PA
FBpp0083082,4967,CG7706-PA
FBpp0083083,4968,ChT-PA
FBpp0083090,4969,CG31226-PA
FBpp0083092,4970,Octalpha2R-PA
FBpp0305032,4971,Octalpha2R-PC
FBpp0303062,4972,Octalpha2R-PB
FBpp0083094,4973,CG7720-PA
FBpp0083097,4974,PGS1-PA
FBpp0083099,4975,Mekk1-PB
FBpp0303771,4976,Mekk1-PD
FBpp0083100,4977,CG7715-PA
FBpp0083101,4978,CG7714-PA
FBpp0083102,4979,Muc91C-PA
FBpp0311446,4980,Muc91C-PB
FBpp0288638,4981,CG14301-PB
FBpp0083108,4982,CG7695-PA
FBpp0083109,4983,CG14298-PA
FBpp0083110,4984,CG14297-PA
FBpp0083111,4985,Rh2-PA
FBpp0083112,4986,EndoA-PA
FBpp0083121,4987,dnk-PA
FBpp0083124,4988,CG14286-PA
FBpp0083125,4989,CG14285-PA
FBpp0083126,4990,NP15.6-PA
FBpp0083127,4991,P5cr-PA
FBpp0083128,4992,CG6013-PA
FBpp0271809,4993,CG6026-PB
FBpp0083130,4994,cdi-PA
FBpp0293864,4995,cdi-PB
FBpp0083131,4996,Prp18-PA
FBpp0083133,4997,CG6005-PA
FBpp0083135,4998,Smu1-PA
FBpp0083136,4999,euc-PA
FBpp0293234,5000,euc-PB
FBpp0083137,5001,Mpc1-PB
FBpp0083138,5002,Sgsh-PA
FBpp0083139,5003,CG14292-PA
FBpp0083140,5004,CG14294-PA
FBpp0083142,5005,ATPsynD-PA
FBpp0083143,5006,CG6040-PA
FBpp0083144,5007,Cyp12a5-PA
FBpp0083145,5008,Cyp12a4-PA
FBpp0083146,5009,nos-PA
FBpp0307025,5010,nos-PB
FBpp0083147,5011,sqz-PA
FBpp0083148,5012,CG14282-PA
FBpp0083149,5013,myd-PA
FBpp0083150,5014,cry-PA
FBpp0083151,5015,Polr2M-PA
FBpp0083152,5016,CG14280-PA
FBpp0083153,5017,Dl-PA
FBpp0083155,5018,CG5217-PA
FBpp0290906,5019,unc79-PB
FBpp0290907,5020,unc79-PC
FBpp0290908,5021,unc79-PD
FBpp0310905,5022,unc79-PE
FBpp0310906,5023,unc79-PF
FBpp0083157,5024,CG5250-PA
FBpp0083158,5025,CG11703-PA
FBpp0083160,5026,CG5555-PA
FBpp0304474,5027,CG5555-PB
FBpp0083168,5028,mRpL55-PA
FBpp0083169,5029,CG3734-PA
FBpp0083170,5030,CG18493-PA
FBpp0308297,5031,CG3739-PB
FBpp0083173,5032,CG5316-PA
FBpp0083174,5033,CG5316-PB
FBpp0401601,5034,CG5316-PE
FBpp0112159,5035,CG11626-PB
FBpp0428080,5036,CG11626-PC
FBpp0083182,5037,CG15025-PA
FBpp0083183,5038,Scsalpha2-PA
FBpp0083184,5039,CG3517-PA
FBpp0083186,5040,CG31244-PA
FBpp0083187,5041,CG31245-PA
FBpp0083188,5042,CG31404-PA
FBpp0083189,5043,CG3581-PA
FBpp0113045,5044,CG7333-PB
FBpp0083191,5045,CG7342-PA
FBpp0083193,5046,CG17752-PA
FBpp0083194,5047,CG16727-PA
FBpp0083195,5048,Nup58-PA
FBpp0291554,5049,CG31220-PB
FBpp0112312,5050,CG31219-PB
FBpp0083198,5051,ort-PA
FBpp0290431,5052,CG7432-PB
FBpp0083200,5053,Naam-PA
FBpp0083203,5054,CG11391-PA
FBpp0083204,5055,CG11407-PA
FBpp0083205,5056,CG11453-PA
FBpp0083208,5057,CG11659-PA
FBpp0083209,5058,CG6300-PA
FBpp0083211,5059,CG6184-PA
FBpp0311447,5060,CG6184-PE
FBpp0311448,5061,CG6184-PF
FBpp0083213,5062,CG6195-PA
FBpp0083215,5063,subdued-PA
FBpp0083216,5064,subdued-PB
FBpp0291654,5065,subdued-PD
FBpp0306942,5066,subdued-PF
FBpp0083220,5067,CG6231-PA
FBpp0083222,5068,CG31459-PA
FBpp0083224,5069,MICU3-PB
FBpp0083223,5070,MICU3-PA
FBpp0307016,5071,MICU3-PD
FBpp0307017,5072,MICU3-PE
FBpp0307018,5073,MICU3-PF
FBpp0290338,5074,MICU3-PC
FBpp0083225,5075,CG11447-PA
FBpp0083226,5076,CG4686-PA
FBpp0083227,5077,Arc42-PA
FBpp0089256,5078,Ask1-PB
FBpp0289484,5079,Ask1-PC
FBpp0290339,5080,CG4733-PB
FBpp0310665,5081,CG4733-PE
FBpp0083230,5082,RhoGAP92B-PA
FBpp0310727,5083,RhoGAP92B-PB
FBpp0310728,5084,RhoGAP92B-PC
FBpp0310729,5085,RhoGAP92B-PD
FBpp0083231,5086,CG4770-PA
FBpp0083232,5087,CG4783-PA
FBpp0310690,5088,CG4783-PB
FBpp0307228,5089,CG31213-PB
FBpp0083234,5090,MED25-PA
FBpp0083239,5091,CG4854-PA
FBpp0083240,5092,CG4936-PA
FBpp0083244,5093,mdlc-PA
FBpp0083245,5094,CG4390-PB
FBpp0083246,5095,CG4390-PA
FBpp0083247,5096,CG17193-PA
FBpp0083248,5097,Regnase-1-PA
FBpp0083249,5098,trem-PA
FBpp0083250,5099,CG4424-PA
FBpp0083252,5100,PIG-L-PB
FBpp0298346,5101,PIG-L-PC
FBpp0298347,5102,CG17190-PB
FBpp0083255,5103,Hs6st-PA
FBpp0083256,5104,mira-PA
FBpp0083257,5105,mira-PB
FBpp0307230,5106,mira-PC
FBpp0083258,5107,CG4459-PA
FBpp0083259,5108,CG4462-PA
FBpp0083260,5109,CG4465-PA
FBpp0083261,5110,Xport-A-PA
FBpp0083263,5111,Surf6-PA
FBpp0083264,5112,ClpX-PA
FBpp0310666,5113,ClpX-PC
FBpp0083266,5114,ninaE-PA
FBpp0083267,5115,CG17186-PA
FBpp0083268,5116,CG4562-PA
FBpp0112162,5117,CG4562-PB
FBpp0303069,5118,CG4562-PE
FBpp0083269,5119,CG4572-PA
FBpp0083273,5120,CG10887-PA
FBpp0083274,5121,Gr92a-PA
FBpp0083275,5122,CG5023-PA
FBpp0083282,5123,CG17199-PA
FBpp0083283,5124,CG31206-PA
FBpp0306624,5125,CG31206-PB
FBpp0083284,5126,Rh3-PA
FBpp0424325,5127,Sirt2-PC
FBpp0307906,5128,Ir92a-PC
FBpp0083292,5129,MtnC-PA
FBpp0083293,5130,eIF3g2-PA
FBpp0083295,5131,Or92a-PA
FBpp0083297,5132,MFS9-PA
FBpp0083298,5133,MtnB-PA
FBpp0306654,5134,Dic2-PC
FBpp0083302,5135,CG4335-PA
FBpp0083307,5136,CG4360-PA
FBpp0112164,5137,CG4360-PB
FBpp0083308,5138,CG4362-PA
FBpp0423078,5139,CG4367-PC
FBpp0300409,5140,MtnD-PB
FBpp0271776,5141,CG5180-PB
FBpp0083312,5142,CG5191-PA
FBpp0083313,5143,CG5191-PB
FBpp0083316,5144,CG5191-PC
FBpp0083317,5145,CG5412-PA
FBpp0271779,5146,Srp14-PB
FBpp0083319,5147,Srp72-PA
FBpp0083320,5148,bon-PA
FBpp0289844,5149,bon-PB
FBpp0303076,5150,bon-PC
FBpp0306699,5151,bon-PD
FBpp0306700,5152,bon-PE
FBpp0306701,5153,bon-PF
FBpp0083321,5154,CG5466-PA
FBpp0083322,5155,H-PA
FBpp0083323,5156,H-PB
FBpp0111700,5157,Lrrk-PB
FBpp0306702,5158,Lrrk-PC
FBpp0306703,5159,Lrrk-PD
FBpp0083327,5160,Cpr92F-PA
FBpp0289679,5161,CG31205-PB
FBpp0083329,5162,Cdk2-PA
FBpp0083337,5163,CG31200-PA
FBpp0083338,5164,CG31199-PA
FBpp0310532,5165,CG17267-PC
FBpp0083341,5166,Oamb-PB
FBpp0083342,5167,Oamb-PC
FBpp0303555,5168,Oamb-PD
FBpp0312356,5169,Oamb-PG
FBpp0303556,5170,Oamb-PE
FBpp0083343,5171,CG4000-PA
FBpp0083344,5172,Nep4-PB
FBpp0083345,5173,Nep4-PA
FBpp0083346,5174,GluRIID-PA
FBpp0110134,5175,GluRIIE-PB
FBpp0083348,5176,Pi3K92E-PA
FBpp0112166,5177,CG15923-PB
FBpp0303061,5178,CG15923-PC
FBpp0083351,5179,Pus1-PA
FBpp0291529,5180,Pus1-PB
FBpp0083352,5181,Septin2-PA
FBpp0306646,5182,Septin2-PB
FBpp0290027,5183,CG16953-PB
FBpp0083354,5184,EloB-PA
FBpp0083355,5185,TFAM-PA
FBpp0083356,5186,TFAM-PB
FBpp0083357,5187,CG10877-PA
FBpp0083358,5188,CG15922-PA
FBpp0083365,5189,Syp-PA
FBpp0083366,5190,Syp-PB
FBpp0083367,5191,Syp-PC
FBpp0083368,5192,Syp-PF
FBpp0083369,5193,Syp-PD
FBpp0083370,5194,Syp-PE
FBpp0112168,5195,Syp-PH
FBpp0306763,5196,Syp-PI
FBpp0306764,5197,Syp-PJ
FBpp0306765,5198,Syp-PK
FBpp0306767,5199,Syp-PM
FBpp0306768,5200,Syp-PN
FBpp0306769,5201,Syp-PO
FBpp0306771,5202,Syp-PQ
FBpp0306772,5203,Syp-PR
FBpp0423032,5204,Syp-PS
FBpp0423033,5205,Syp-PT
FBpp0423034,5206,Syp-PV
FBpp0083371,5207,RpS20-PA
FBpp0423258,5208,CG31223-PB
FBpp0083373,5209,Synd-PB
FBpp0306774,5210,Synd-PC
FBpp0083374,5211,CG15695-PA
FBpp0083375,5212,CG15696-PA
FBpp0083376,5213,RpS30-PA
FBpp0083378,5214,TotA-PA
FBpp0083379,5215,TotC-PA
FBpp0083380,5216,TotB-PA
FBpp0083381,5217,TotZ-PA
FBpp0083382,5218,Grik-PA
FBpp0307023,5219,Grik-PC
FBpp0307024,5220,Grik-PD
FBpp0083383,5221,hdly-PA
FBpp0112169,5222,hdly-PB
FBpp0083388,5223,CG31191-PA
FBpp0310710,5224,CG31191-PD
FBpp0083389,5225,TotX-PA
FBpp0083390,5226,Ktl-PA
FBpp0083391,5227,KaiR1D-PA
FBpp0083395,5228,AdSS-PA
FBpp0083396,5229,CG17272-PA
FBpp0083397,5230,CG17271-PA
FBpp0110120,5231,CG17271-PB
FBpp0083398,5232,CG17270-PA
FBpp0083399,5233,Fancd2-PA
FBpp0083400,5234,Takl1-PA
FBpp0291398,5235,CG31195-PB
FBpp0083402,5236,Calx-PA
FBpp0301141,5237,Calx-PD
FBpp0301142,5238,Calx-PE
FBpp0301143,5239,Calx-PF
FBpp0301144,5240,Calx-PG
FBpp0310708,5241,Calx-PH
FBpp0310709,5242,Calx-PI
FBpp0083405,5243,CG5697-PA
FBpp0083406,5244,Rlip-PA
FBpp0307748,5245,Rlip-PB
FBpp0083407,5246,CG12278-PA
FBpp0083410,5247,dmrt93B-PA
FBpp0083411,5248,Tbc1d22-PA
FBpp0083412,5249,rtet-PA
FBpp0083413,5250,Rab11-PA
FBpp0083415,5251,ppan-PA
FBpp0293256,5252,CG5793-PB
FBpp0083418,5253,Ice2-PA
FBpp0112170,5254,Ice2-PC
FBpp0083419,5255,Usp8-PA
FBpp0293257,5256,Usp8-PB
FBpp0083429,5257,CG5810-PA
FBpp0083431,5258,cDIP-PA
FBpp0083432,5259,Trm7-34-PA
FBpp0083433,5260,Obp93a-PA
FBpp0083435,5261,Bdbt-PA
FBpp0083437,5262,CG7044-PA
FBpp0083438,5263,RhoGAP93B-PA
FBpp0083439,5264,HHEX-PA
FBpp0083440,5265,r-l-PA
FBpp0083441,5266,Cortactin-PA
FBpp0423056,5267,CG17279-PD
FBpp0083445,5268,CG7079-PA
FBpp0083446,5269,CG31207-PA
FBpp0290041,5270,CG31189-PB
FBpp0271744,5271,Dhc93AB-PB
FBpp0307750,5272,Dhc93AB-PC
FBpp0083449,5273,peg-PA
FBpp0083450,5274,Alp5-PA
FBpp0083451,5275,CG5862-PA
FBpp0083452,5276,Oga-PA
FBpp0308330,5277,CG5892-PB
FBpp0083455,5278,ETHR-PB
FBpp0083456,5279,ETHR-PA
FBpp0083457,5280,Idi-PA
FBpp0083458,5281,CG17298-PA
FBpp0083465,5282,mod(mdg4)-PG
FBpp0083466,5283,mod(mdg4)-PH
FBpp0083467,5284,mod(mdg4)-PI
FBpp0083468,5285,mod(mdg4)-PJ
FBpp0083469,5286,mod(mdg4)-PK
FBpp0083470,5287,mod(mdg4)-PL
FBpp0083471,5288,mod(mdg4)-PM
FBpp0083472,5289,mod(mdg4)-PN
FBpp0083473,5290,mod(mdg4)-PO
FBpp0083474,5291,mod(mdg4)-PP
FBpp0083476,5292,mod(mdg4)-PR
FBpp0083477,5293,mod(mdg4)-PS
FBpp0083478,5294,mod(mdg4)-PT
FBpp0083479,5295,mod(mdg4)-PU
FBpp0083480,5296,mod(mdg4)-PV
FBpp0083481,5297,mod(mdg4)-PW
FBpp0083482,5298,mod(mdg4)-PX
FBpp0083483,5299,mod(mdg4)-PY
FBpp0083484,5300,mod(mdg4)-PZ
FBpp0083459,5301,mod(mdg4)-PA
FBpp0083460,5302,mod(mdg4)-PB
FBpp0083461,5303,mod(mdg4)-PC
FBpp0083462,5304,mod(mdg4)-PD
FBpp0083463,5305,mod(mdg4)-PE
FBpp0083464,5306,mod(mdg4)-PF
FBpp0112908,5307,mod(mdg4)-PAA
FBpp0112909,5308,mod(mdg4)-PAB
FBpp0112910,5309,mod(mdg4)-PAC
FBpp0300270,5310,mod(mdg4)-PAD
FBpp0300271,5311,mod(mdg4)-PAE
FBpp0310324,5312,mod(mdg4)-PAF
FBpp0083485,5313,tin-PA
FBpp0083486,5314,bap-PA
FBpp0112173,5315,CG7907-PB
FBpp0083490,5316,lbe-PA
FBpp0083491,5317,lbl-PA
FBpp0289338,5318,lbl-PB
FBpp0304711,5319,lbl-PC
FBpp0083494,5320,aus-PA
FBpp0310362,5321,aus-PB
FBpp0310363,5322,aus-PC
FBpp0310364,5323,aus-PD
FBpp0083499,5324,CG3301-PA
FBpp0083501,5325,CG3308-PA
FBpp0083502,5326,AP-2sigma-PA
FBpp0083505,5327,e-PA
FBpp0083506,5328,CG3337-PA
FBpp0083507,5329,Smyd5-PA
FBpp0083508,5330,Fancm-PA
FBpp0083510,5331,C15-PA
FBpp0083511,5332,sp3-PA
FBpp0290429,5333,sp3-PD
FBpp0290430,5334,sp3-PE
FBpp0306725,5335,sp3-PF
FBpp0306726,5336,sp3-PG
FBpp0083512,5337,CG15497-PA
FBpp0083513,5338,CG31176-PA
FBpp0083515,5339,Archease-PA
FBpp0083518,5340,E2f1-PA
FBpp0306739,5341,E2f1-PD
FBpp0083520,5342,CG15498-PA
FBpp0083521,5343,slou-PA
FBpp0303415,5344,slou-PB
FBpp0083523,5345,CG5849-PA
FBpp0290387,5346,CG5849-PB
FBpp0083524,5347,CG31343-PA
FBpp0083525,5348,CG31233-PA
FBpp0083526,5349,CG31198-PA
FBpp0083529,5350,Burs-PA
FBpp0083530,5351,CG6800-PA
FBpp0083531,5352,Gr93a-PA
FBpp0083535,5353,CG31431-PA
FBpp0289352,5354,CG31178-PB
FBpp0083537,5355,CG6656-PA
FBpp0083538,5356,P5CDh2-PA
FBpp0083541,5357,P5CDh2-PD
FBpp0083544,5358,P5CDh2-PG
FBpp0423062,5359,CG31465-PD
FBpp0423063,5360,CG31465-PE
FBpp0423064,5361,CG31465-PF
FBpp0083546,5362,CG6678-PA
FBpp0083547,5363,Qsox3-PA
FBpp0083548,5364,Qsox2-PA
FBpp0083549,5365,dnd-PA
FBpp0083550,5366,CG17819-PA
FBpp0083551,5367,fit-PA
FBpp0083552,5368,CG31174-PA
FBpp0306901,5369,CG31174-PB
FBpp0083553,5370,CG6569-PA
FBpp0083554,5371,CG6569-PB
FBpp0112175,5372,CG6569-PC
FBpp0306902,5373,CG6569-PD
FBpp0083555,5374,glec-PA
FBpp0083556,5375,Gr93d-PA
FBpp0083557,5376,Gr93c-PA
FBpp0288675,5377,Gr93b-PB
FBpp0083559,5378,CASK-PB
FBpp0083560,5379,CASK-PA
FBpp0303394,5380,CASK-PH
FBpp0111786,5381,CASK-PE
FBpp0290542,5382,CASK-PF
FBpp0290543,5383,CASK-PG
FBpp0428098,5384,CASK-PI
FBpp0083562,5385,tsl-PA
FBpp0083564,5386,Polr1H-PA
FBpp0083565,5387,GABA-B-R2-PA
FBpp0083566,5388,GABA-B-R2-PB
FBpp0308298,5389,GABA-B-R2-PC
FBpp0083568,5390,Theg-PA
FBpp0083569,5391,mRpL35-PA
FBpp0083570,5392,ND-42-PA
FBpp0083574,5393,Fadd-PA
FBpp0083577,5394,CG13408-PA
FBpp0083578,5395,BomBc3-PA
FBpp0083579,5396,CG13407-PA
FBpp0083580,5397,BomT3-PA
FBpp0083581,5398,CG6015-PA
FBpp0083582,5399,CG13409-PA
FBpp0083583,5400,Cchl-PA
FBpp0083584,5401,CG6028-PA
FBpp0288710,5402,Mitofilin-PC
FBpp0307187,5403,Mitofilin-PE
FBpp0083588,5404,Idh3b-PA
FBpp0083591,5405,Ir94a-PA
FBpp0083595,5406,SKIP-PB
FBpp0301887,5407,SKIP-PH
FBpp0303407,5408,SKIP-PI
FBpp0290250,5409,SKIP-PE
FBpp0307693,5410,SKIP-PJ
FBpp0293574,5411,SKIP-PG
FBpp0293575,5412,Gld2-PB
FBpp0083599,5413,CG7084-PB
FBpp0083601,5414,CG7080-PA
FBpp0083602,5415,CG13862-PA
FBpp0083603,5416,rdhB-PA
FBpp0083604,5417,Sar1-PA
FBpp0083608,5418,CG7071-PA
FBpp0083612,5419,CG7069-PA
FBpp0083613,5420,CG18596-PA
FBpp0083616,5421,CG7059-PA
FBpp0083617,5422,CG7059-PC
FBpp0083618,5423,CG7059-PD
FBpp0083619,5424,CG13856-PA
FBpp0083620,5425,CG13855-PA
FBpp0083624,5426,mats-PA
FBpp0083625,5427,Nop56-PA
FBpp0083626,5428,CG13850-PA
FBpp0083627,5429,CG13857-PA
FBpp0083628,5430,CAH8-PA
FBpp0083629,5431,Polr3F-PA
FBpp0083632,5432,JMJD6-PA
FBpp0303404,5433,JMJD6-PB
FBpp0083633,5434,CG5386-PA
FBpp0083634,5435,CG5388-PA
FBpp0083635,5436,CG5391-PA
FBpp0307908,5437,Ir94c-PB
FBpp0307909,5438,Ir94b-PB
FBpp0083647,5439,CG7054-PA
FBpp0083648,5440,Pebp1-PA
FBpp0083649,5441,Nrx-1-PA
FBpp0290700,5442,Nrx-1-PB
FBpp0306676,5443,Nrx-1-PE
FBpp0306677,5444,Nrx-1-PF
FBpp0306678,5445,Nrx-1-PG
FBpp0083650,5446,Pfdn5-PA
FBpp0083651,5447,tHMG1-PA
FBpp0083652,5448,tHMG2-PA
FBpp0290698,5449,tHMG2-PB
FBpp0083657,5450,CG33110-PA
FBpp0083658,5451,CSN6-PA
FBpp0083659,5452,CG6937-PA
FBpp0112307,5453,Efa6-PC
FBpp0112308,5454,Efa6-PD
FBpp0291397,5455,Efa6-PG
FBpp0306626,5456,Efa6-PH
FBpp0306627,5457,Efa6-PI
FBpp0083662,5458,CG13843-PA
FBpp0083663,5459,mRRF2-PA
FBpp0310632,5460,mRRF2-PB
FBpp0293210,5461,CG31161-PB
FBpp0083666,5462,loco-PD
FBpp0083668,5463,loco-PB
FBpp0083669,5464,loco-PC
FBpp0301188,5465,loco-PH
FBpp0293211,5466,loco-PF
FBpp0083670,5467,CG31156-PA
FBpp0083671,5468,btn-PA
FBpp0083672,5469,CG33107-PA
FBpp0083673,5470,Dph5-PA
FBpp0083674,5471,sit-PA
FBpp0083677,5472,AdipoR-PB
FBpp0083675,5473,AdipoR-PA
FBpp0083678,5474,CG5326-PA
FBpp0083681,5475,CG33099-PA
FBpp0083682,5476,CG5346-PA
FBpp0083684,5477,CCT1-PA
FBpp0083685,5478,CG5376-PA
FBpp0083686,5479,CG5377-PA
FBpp0083687,5480,Rpn7-PA
FBpp0083688,5481,CG12499-PA
FBpp0290925,5482,CG13847-PB
FBpp0307974,5483,CG13847-PC
FBpp0083690,5484,pinta-PA
FBpp0083694,5485,CG17625-PA
FBpp0083695,5486,Nup133-PA
FBpp0083697,5487,Cyp6d4-PA
FBpp0083698,5488,CG6972-PA
FBpp0312598,5489,CG6972-PB
FBpp0083701,5490,CG6985-PA
FBpp0083702,5491,HP1c-PA
FBpp0083704,5492,Usp12-46-PB
FBpp0083705,5493,CG7029-PA
FBpp0112182,5494,CG7029-PC
FBpp0301740,5495,CG7029-PF
FBpp0301741,5496,CG7029-PG
FBpp0310701,5497,CG7029-PI
FBpp0083706,5498,CG7031-PA
FBpp0311449,5499,CG7031-PC
FBpp0083707,5500,CG4704-PA
FBpp0308284,5501,CG13840-PC
FBpp0083709,5502,CG13841-PA
FBpp0083710,5503,Nepl15-PA
FBpp0083711,5504,Nepl14-PA
FBpp0083712,5505,Nepl13-PA
FBpp0083714,5506,CG31139-PA
FBpp0308605,5507,CG31139-PC
FBpp0083717,5508,Dcr-1-PA
FBpp0291414,5509,Takl2-PB
FBpp0083719,5510,RNF220-PA
FBpp0083720,5511,Irp-1A-PA
FBpp0110132,5512,wge-PC
FBpp0302573,5513,wge-PD
FBpp0302574,5514,wge-PE
FBpp0302575,5515,wge-PF
FBpp0083723,5516,CG4907-PA
FBpp0311469,5517,CG13842-PB
FBpp0083726,5518,CCAP-PA
FBpp0083727,5519,wfs1-PA
FBpp0291996,5520,wfs1-PC
FBpp0083729,5521,Gclm-PA
FBpp0083730,5522,klg-PA
FBpp0083731,5523,CG6660-PA
FBpp0083732,5524,Tpl94D-PA
FBpp0301798,5525,Tpl94D-PB
FBpp0083733,5526,Gbp3-PA
FBpp0083734,5527,Or94a-PA
FBpp0083735,5528,Or94b-PA
FBpp0083736,5529,CG6688-PA
FBpp0083737,5530,CG13838-PA
FBpp0083738,5531,CG13837-PA
FBpp0083739,5532,Gr94a-PA
FBpp0083740,5533,Ublcp1-PA
FBpp0083742,5534,CG6726-PA
FBpp0083743,5535,CG17110-PA
FBpp0083744,5536,CG17109-PA
FBpp0083745,5537,CG6733-PA
FBpp0083746,5538,CG6738-PA
FBpp0291232,5539,Cow-PC
FBpp0307957,5540,Cow-PE
FBpp0292542,5541,CG17111-PB
FBpp0083749,5542,sav-PA
FBpp0292543,5543,sav-PB
FBpp0083750,5544,CG17119-PA
FBpp0083752,5545,p53-PA
FBpp0083753,5546,p53-PB
FBpp0311439,5547,p53-PE
FBpp0083754,5548,CG17121-PA
FBpp0083755,5549,CG13833-PA
FBpp0083757,5550,lmd-PB
FBpp0307995,5551,lmd-PC
FBpp0083761,5552,CenB1A-PA
FBpp0083762,5553,CenB1A-PB
FBpp0083766,5554,EloA-PA
FBpp0083767,5555,EloA-PB
FBpp0083768,5556,Pex11c-PA
FBpp0300234,5557,Pex11c-PB
FBpp0083769,5558,Cdc16-PA
FBpp0083770,5559,CG6763-PA
FBpp0083774,5560,bb8-PA
FBpp0083775,5561,wam-PA
FBpp0083779,5562,wda-PA
FBpp0083780,5563,Rad60-PA
