FBpp_ID,id,Protein_symbol
FBpp0070298,178,Vps26-PA
FBpp0070299,179,CG14805-PA
FBpp0070300,180,Coa8-PA
FBpp0070301,181,mRpL16-PA
FBpp0070302,182,mip130-PA
FBpp0070303,183,Rbcn-3B-PA
FBpp0070304,184,Ocrl-PA
FBpp0070307,185,CG11596-PB
FBpp0070305,186,CG11596-PC
FBpp0070306,187,CG11596-PA
FBpp0070308,188,CG3587-PA
FBpp0070314,189,CG4194-PA
FBpp0070316,190,Rtca-PA
FBpp0070317,191,CG4045-PA
FBpp0070322,192,CG4199-PB
FBpp0070323,193,CG4199-PA
FBpp0070324,194,CG14054-PA
FBpp0070325,195,CG4281-PA
FBpp0070326,196,Sik2-PA
FBpp0070327,197,moody-PA
FBpp0292163,198,moody-PC
FBpp0070328,199,CG4325-PA
FBpp0070331,200,Actn-PC
FBpp0070329,201,Actn-PB
FBpp0070330,202,Actn-PA
FBpp0302777,203,Actn-PF
FBpp0070332,204,usp-PA
FBpp0070333,205,PIG-K-PA
FBpp0070335,206,CG3857-PA
FBpp0070336,207,eIF2Bepsilon-PA
FBpp0070339,208,Edem1-PA
FBpp0304832,209,Edem1-PE
FBpp0070340,210,CG32801-PA
FBpp0070346,211,trr-PC
FBpp0070347,212,trr-PD
FBpp0070348,213,CG14818-PA
FBpp0070349,214,CG14817-PA
FBpp0070350,215,Pgam5-PA
FBpp0308673,216,Pgam5-PB
FBpp0070351,217,Pex5-PA
FBpp0070352,218,Pex5-PB
FBpp0070353,219,Gcna-PB
FBpp0070354,220,Gcna-PA
FBpp0070355,221,deltaCOP-PA
FBpp0291138,222,deltaCOP-PB
FBpp0070356,223,Lamtor5-PA
FBpp0301697,224,CG14811-PB
FBpp0070359,225,CG4025-PA
FBpp0070361,226,Unc-76-PA
FBpp0305897,227,Unc-76-PD
FBpp0070362,228,csw-PA
FBpp0070363,229,csw-PB
FBpp0070364,230,csw-PC
FBpp0305458,231,csw-PD
FBpp0070367,232,D2hgdh-PA
FBpp0070368,233,Pgd-PA
FBpp0070369,234,CG3630-PA
FBpp0301777,235,CG3630-PB
FBpp0070370,236,ND-B14.5A-PA
FBpp0070371,237,Cyp4d2-PA
FBpp0070372,238,Cyp4ae1-PA
FBpp0070373,239,pn-PA
FBpp0070374,240,CG17776-PA
FBpp0288524,241,CG17777-PB
FBpp0070376,242,CG3457-PA
FBpp0070377,243,Mct1-PA
FBpp0304654,244,CG14052-PB
FBpp0309618,245,pcx-PE
FBpp0304655,246,pcx-PC
FBpp0070380,247,fs(1)K10-PA
FBpp0070381,248,Or2a-PA
FBpp0070382,249,CG3071-PA
FBpp0070383,250,CG2854-PA
FBpp0070385,251,Raf-PA
FBpp0070388,252,CG2841-PA
FBpp0310194,253,CG2841-PF
FBpp0070389,254,mRpL14-PA
FBpp0070390,255,Ilp6-PA
FBpp0070391,256,CG14050-PA
FBpp0070392,257,CG2865-PA
FBpp0070395,258,CG2918-PA
FBpp0070396,259,CG2924-PA
FBpp0070398,260,temp-PA
FBpp0070399,261,CG3078-PA
FBpp0309183,262,CG3078-PB
FBpp0423140,263,CG3078-PC
FBpp0423191,264,CG3078-PD
FBpp0070401,265,CG3191-PA
FBpp0070402,266,crn-PA
FBpp0070403,267,kz-PA
FBpp0070404,268,Vinc-PA
FBpp0070407,269,FarO-PA
FBpp0070408,270,CG14053-PA
FBpp0070409,271,Nmd3-PA
FBpp0070410,272,Cyp4d14-PA
FBpp0301778,273,Cyp4d14-PB
FBpp0070411,274,Cyp4d1-PB
FBpp0070412,275,Cyp4d1-PA
FBpp0070413,276,wapl-PA
FBpp0070414,277,wapl-PB
FBpp0070415,278,bcn92-PA
FBpp0070416,279,ph-p-PA
FBpp0290730,280,ph-p-PB
FBpp0070417,281,ph-d-PA
FBpp0111756,282,ph-d-PB
FBpp0070418,283,CG16903-PA
FBpp0070421,284,AANATL7-PA
FBpp0070422,285,wds-PA
FBpp0070424,286,egh-PB
FBpp0070426,287,Seipin-PA
FBpp0309091,288,brv3-PC
FBpp0289932,289,brv3-PB
FBpp0070429,290,Tsp3A-PA
FBpp0070430,291,eIF3g1-PA
FBpp0070431,292,Smyd3-PB
FBpp0070432,293,Klp3A-PA
FBpp0289931,294,CG13760-PC
FBpp0300791,295,CG13760-PD
FBpp0308493,296,Vha36-3-PB
FBpp0070441,297,boi-PB
FBpp0070442,298,boi-PA
FBpp0306904,299,boi-PG
FBpp0070443,300,tko-PB
FBpp0300988,301,tko-PC
FBpp0070444,302,gt-PB
FBpp0070445,303,CG32797-PA
FBpp0070446,304,CG12496-PA
FBpp0070454,305,sgg-PD
FBpp0089160,306,sgg-PG
FBpp0089161,307,sgg-PK
FBpp0070449,308,sgg-PB
FBpp0070450,309,sgg-PA
FBpp0111741,310,sgg-PM
FBpp0291395,311,sgg-PO
FBpp0304139,312,sgg-PP
FBpp0304140,313,sgg-PQ
FBpp0304141,314,sgg-PR
FBpp0070455,315,per-PA
FBpp0070456,316,CG2662-PA
FBpp0070457,317,eIF2Bbeta-PA
FBpp0070458,318,CG2681-PA
FBpp0070459,319,CG2694-PA
FBpp0070460,320,CG2694-PB
FBpp0302769,321,CG2694-PD
FBpp0070462,322,fs(1)Yb-PA
FBpp0070463,323,fs(1)Ya-PA
FBpp0070465,324,dwg-PA
FBpp0070466,325,CG2712-PA
FBpp0070467,326,CG12498-PA
FBpp0070468,327,w-PA
FBpp0070469,328,CG32795-PA
FBpp0070471,329,Syx4-PA
FBpp0304772,330,Syx4-PB
FBpp0070473,331,crm-PA
FBpp0070475,332,CG2701-PA
FBpp0070476,333,CG2685-PA
FBpp0271787,334,CG2680-PB
FBpp0070478,335,Ugalt-PA
FBpp0271784,336,Ugalt-PB
FBpp0070479,337,Spg7-PA
FBpp0070480,338,dyw-PA
FBpp0070481,339,CG2652-PA
FBpp0070482,340,HLH3B-PA
FBpp0070483,341,N-PA
FBpp0070484,342,CG3939-PA
FBpp0070493,343,dnc-PA
FBpp0070494,344,dnc-PE
FBpp0070495,345,dnc-PN
FBpp0070496,346,dnc-PG
FBpp0070497,347,dnc-PF
FBpp0070498,348,dnc-PL
FBpp0070485,349,dnc-PB
FBpp0070487,350,dnc-PI
FBpp0070488,351,dnc-PC
FBpp0070491,352,dnc-PD
FBpp0305505,353,dnc-PQ
FBpp0305508,354,dnc-PT
FBpp0070499,355,ng1-PA
FBpp0312344,356,Sgs4-PC
FBpp0070502,357,CG10801-PA
FBpp0303996,358,CG10801-PB
FBpp0070503,359,CG12206-PA
FBpp0070506,360,CG16781-PA
FBpp0302614,361,CG16781-PB
FBpp0070507,362,CG16782-PA
FBpp0070508,363,CG14269-PA
FBpp0070509,364,CG12535-PB
FBpp0070511,365,CG10793-PA
FBpp0070512,366,Pig1-PB
FBpp0070513,367,ng4-PA
FBpp0070514,368,ng3-PB
FBpp0070515,369,ng2-PA
FBpp0070517,370,Fcp3C-PA
FBpp0070518,371,CG18508-PA
FBpp0070521,372,CG3526-PA
FBpp0112237,373,CG3526-PC
FBpp0070525,374,CG32793-PA
FBpp0070526,375,CG3592-PA
FBpp0070527,376,CG3598-PA
FBpp0070528,377,CG14420-PA
FBpp0070529,378,CG14421-PA
FBpp0070530,379,CG14422-PA
FBpp0070531,380,CG14423-PA
FBpp0070532,381,CG17959-PA
FBpp0070533,382,CG3603-PA
FBpp0070535,383,kirre-PA
FBpp0070536,384,CG4116-PA
FBpp0304770,385,CG4116-PB
FBpp0070537,386,rst-PA
FBpp0070538,387,CG14424-PA
FBpp0070539,388,CG14419-PA
FBpp0070540,389,CG14418-PA
FBpp0304771,390,CG14418-PB
FBpp0070541,391,CG14417-PA
FBpp0070542,392,CG14416-PA
FBpp0070543,393,CG10802-PA
FBpp0303999,394,CG10802-PB
FBpp0070544,395,CG10803-PA
FBpp0304000,396,CG10803-PB
FBpp0304564,397,CG10803-PE
FBpp0070545,398,CG13021-PA
FBpp0298008,399,ppk8-PG
FBpp0298009,400,ppk8-PH
FBpp0070552,401,Ilp7-PA
FBpp0070554,402,Mnt-PA
FBpp0298278,403,Mnt-PI
FBpp0298279,404,Mnt-PJ
FBpp0291035,405,Mnt-PD
FBpp0291037,406,Mnt-PF
FBpp0291038,407,Mnt-PG
FBpp0310175,408,Mnt-PK
FBpp0070557,409,Rala-PB
FBpp0070558,410,Rala-PA
FBpp0298280,411,Parg-PB
FBpp0070561,412,CG2875-PA
FBpp0070562,413,CG2875-PB
FBpp0070563,414,DIP-alpha-PA
FBpp0305928,415,DIP-alpha-PB
FBpp0070564,416,Gas8-PB
FBpp0310144,417,Gas8-PC
FBpp0070565,418,CG14270-PA
FBpp0070566,419,CG10804-PA
FBpp0070567,420,CG10804-PB
FBpp0112979,421,CG10804-PC
FBpp0070581,422,CG2930-PD
FBpp0070582,423,CG2930-PA
FBpp0309176,424,CG2930-PE
FBpp0070585,425,CG15239-PA
FBpp0070586,426,Glos-PA
FBpp0311141,427,Gem4b-PB
FBpp0311142,428,Gem4c-PB
FBpp0070589,429,Vap33-PB
FBpp0089169,430,Vap33-PA
FBpp0070594,431,CG6414-PA
FBpp0070595,432,CG6428-PA
FBpp0070596,433,lva-PC
FBpp0070597,434,CG2938-PB
FBpp0312488,435,CG15375-PB
FBpp0070606,436,brn-PA
FBpp0070608,437,cib-PC
FBpp0070607,438,cib-PA
FBpp0070610,439,dgt4-PA
FBpp0070611,440,tyf-PB
FBpp0290346,441,tyf-PF
FBpp0070612,442,GlcAT-I-PA
FBpp0070613,443,CG15570-PA
FBpp0070614,444,CG12691-PA
FBpp0070615,445,CG15572-PA
FBpp0070620,446,CG3626-PA
FBpp0070622,447,CG12693-PB
FBpp0070623,448,mRpL33-PA
FBpp0070624,449,mei-9-PA
FBpp0070625,450,CG15579-PA
FBpp0070626,451,CG12692-PB
FBpp0070627,452,CG15578-PA
FBpp0070628,453,CG15577-PA
FBpp0070629,454,CG15576-PB
FBpp0297893,455,Muc4B-PB
FBpp0070631,456,Femcoat-PB
FBpp0070632,457,CG15571-PA
FBpp0070633,458,Fas2-PA
FBpp0070634,459,Fas2-PB
FBpp0070635,460,Fas2-PC
FBpp0307830,461,Fas2-PD
FBpp0307832,462,Fas2-PF
FBpp0310127,463,Fas2-PG
FBpp0310128,464,Fas2-PH
FBpp0070636,465,Tip60-PA
FBpp0305387,466,Tip60-PB
FBpp0070637,467,Nsun2-PA
FBpp0070638,468,Xpac-PA
FBpp0070639,469,Cmtr1-PA
FBpp0070640,470,bi-PA
FBpp0303589,471,bi-PF
FBpp0310169,472,bi-PG
FBpp0301040,473,bi-PD
FBpp0301041,474,bi-PE
FBpp0070642,475,CG3556-PA
FBpp0070643,476,CHOp24-PA
FBpp0070644,477,CG3568-PA
FBpp0070645,478,CG15912-PA
FBpp0070646,479,CG3527-PA
FBpp0070647,480,CG3546-PA
FBpp0070653,481,Pp2C1-PA
FBpp0070666,482,CG11444-PA
FBpp0070667,483,CG11436-PA
FBpp0070669,484,Usf-PB
FBpp0070670,485,rb-PA
FBpp0070674,486,ctp-PA
FBpp0423173,487,ctp-PF
FBpp0070679,488,Pdha-PC
FBpp0070676,489,Pdha-PA
FBpp0070678,490,Pdha-PB
FBpp0070680,491,CG7024-PA
FBpp0070683,492,CG6978-PA
FBpp0070684,493,CG12682-PA
FBpp0070685,494,boil-PA
FBpp0070689,495,CG6927-PA
FBpp0290219,496,CG32772-PC
FBpp0309724,497,CG32772-PD
FBpp0070691,498,CG6903-PA
FBpp0070692,499,Ptp4E-PA
FBpp0070693,500,Ptp4E-PB
FBpp0310132,501,Ptp4E-PG
FBpp0310133,502,Ptp4E-PH
FBpp0289295,503,CG12680-PB
FBpp0428112,504,CG15468-PB
FBpp0070699,505,CG2861-PA
FBpp0304591,506,CG2861-PD
FBpp0304592,507,CG2861-PE
FBpp0428404,508,CG2861-PF
FBpp0428405,509,CG2861-PG
FBpp0428406,510,CG2861-PH
FBpp0288876,511,CG15471-PB
FBpp0070703,512,Klf15-PA
FBpp0070704,513,CG15472-PA
FBpp0070709,514,Rpn13R-PA
FBpp0070710,515,CG15465-PA
FBpp0070716,516,snf-PA
FBpp0070717,517,dhd-PA
FBpp0070718,518,CG4198-PA
FBpp0309416,519,CG4198-PB
FBpp0070719,520,Sas10-PA
FBpp0070720,521,Rnp4F-PA
FBpp0291095,522,CG15930-PB
FBpp0070722,523,TrxT-PA
FBpp0070724,524,CG17764-PA
FBpp0070725,525,CG3323-PA
FBpp0070726,526,CG5062-PA
FBpp0290216,527,CG32767-PC
FBpp0304145,528,CG32767-PG
FBpp0070730,529,XRCC1-PA
FBpp0070731,530,CanB-PA
FBpp0289694,531,SK-PH
FBpp0303992,532,SK-PO
FBpp0303993,533,SK-PP
FBpp0303994,534,SK-PQ
FBpp0291161,535,SK-PI
FBpp0291162,536,SK-PJ
FBpp0291163,537,SK-PK
FBpp0291164,538,SK-PL
FBpp0291165,539,SK-PM
FBpp0291166,540,SK-PN
FBpp0310908,541,SK-PR
FBpp0310909,542,SK-PS
FBpp0310910,543,SK-PT
FBpp0310911,544,SK-PU
FBpp0070739,545,Usp16-45-PA
FBpp0070742,546,CG16756-PA
FBpp0070743,547,CG15784-PA
FBpp0070744,548,SPR-PA
FBpp0428130,549,SPR-PD
FBpp0070745,550,CG4151-PA
FBpp0070746,551,CG12730-PA
FBpp0070748,552,Pop1-PA
FBpp0070749,553,Mlc-c-PA
FBpp0300803,554,Mlc-c-PB
FBpp0070750,555,RhoGAP5A-PB
FBpp0070751,556,RhoGAP5A-PA
FBpp0070757,557,CG32762-PA
FBpp0312021,558,frma-PF
FBpp0070763,559,NAAT1-PA
FBpp0070764,560,CG3309-PA
FBpp0311143,561,CG3309-PB
FBpp0070765,562,CG4119-PA
FBpp0070767,563,RpL35-PA
FBpp0070768,564,Gr5a-PA
FBpp0070770,565,cv-PA
FBpp0290305,566,AdamTS-B-PB
FBpp0290306,567,AdamTS-B-PC
FBpp0070772,568,CG15773-PA
FBpp0300796,569,CG15773-PB
FBpp0070773,570,Rtel1-PA
FBpp0070774,571,CG15772-PA
FBpp0070775,572,CG15771-PA
FBpp0292382,573,CG15771-PC
FBpp0070779,574,CG15767-PA
FBpp0070780,575,CG12239-PA
FBpp0070781,576,Cpr5C-PA
FBpp0070782,577,Prosbeta2R1-PA
FBpp0070783,578,CG15765-PA
FBpp0070784,579,CG12729-PA
FBpp0070785,580,CG15764-PA
FBpp0070786,581,CG16721-PA
FBpp0070789,582,CG4020-PA
FBpp0070790,583,CG12236-PA
FBpp0070791,584,CG12236-PB
FBpp0070792,585,Shmt-PA
FBpp0288674,586,Shmt-PB
FBpp0070793,587,Usp30-PA
FBpp0070794,588,mof-PA
FBpp0070795,589,GAA1-PA
FBpp0070797,590,AgmNAT-PA
FBpp0070798,591,CG3108-PA
FBpp0070801,592,CG3097-PA
FBpp0070802,593,MAPk-Ak2-PB
FBpp0070805,594,lin-52-PA
FBpp0070806,595,IntS6-PA
FBpp0070808,596,Snx27-PA
FBpp0309512,597,Snx27-PD
FBpp0308608,598,Snx27-PC
FBpp0070809,599,CG33080-PA
FBpp0070810,600,CG33080-PB
FBpp0309736,601,CG33080-PC
FBpp0070811,602,CG3149-PA
FBpp0070812,603,PGAP1-PA
FBpp0070813,604,Tre1-PA
FBpp0309197,605,Tre1-PC
FBpp0070814,606,Rab18-PA
FBpp0070815,607,Sirt4-PA
FBpp0070817,608,Sirt4-PC
FBpp0070823,609,CG3726-PA
FBpp0309797,610,CG3726-PB
FBpp0070824,611,CG12728-PA
FBpp0070825,612,CG32756-PA
FBpp0070826,613,CG6041-PA
FBpp0070827,614,CG32755-PA
FBpp0070828,615,CG6048-PA
FBpp0070829,616,CG6067-PA
FBpp0070830,617,Grip-PA
FBpp0310059,618,Grip-PB
FBpp0070831,619,CG5966-PA
FBpp0309959,620,CG5966-PB
FBpp0070832,621,MCTS1-PA
FBpp0293888,622,CG5937-PC
FBpp0293885,623,CG5921-PC
FBpp0293886,624,CG5921-PD
FBpp0307915,625,CG5921-PE
FBpp0070838,626,Nep1-PA
FBpp0070839,627,Efr-PA
FBpp0070842,628,sqh-PA
